word,count
fitz,1
five,68
fizz,1
flag,2
flat,8
flay,1
fled,1
flew,3
flip,1
flop,1
flow,3
foam,1
fold,3
fond,13
food,3
fool,4
foot,32
fore,8
fork,5
form,15
fort,2
foul,2
four,53
fowl,2
fred,8
free,30
fret,2
full,63
fund,1
gain,2
gale,1
game,7
gamp,21
gang,2
gaol,1
gape,1
gasp,2
gate,32
gave,39
gaze,4
gear,1
gent,4
gets,12
gift,4
gill,2
girl,57
give,94
glad,42
glee,2
glow,5
glue,1
glum,2
goad,1
gods,1
goes,21
goin,1
gold,8
gone,81
good,400
gout,1
gown,5
grab,1
gray,2
grew,7
grey,14
grig,1
grim,2
grin,3
grip,2
grit,2
grog,1
grow,4
gude,1
gulf,2
gull,1
guns,3
gush,1
hadn,16
hail,3
hair,59
half,134
hall,9
hams,1
hand,220
hang,4
hany,1
hard,42
hare,2
hark,11
harm,13
hart,2
hasn,5
hast,2
hate,1
hats,2
haul,1
hawk,1
haze,1
hazy,1
head,194
heap,11
hear,72
heat,3
heed,2
heel,4
heep,14
heer,1
held,32
help,34
hend,1
hero,1
hide,3
high,44
hill,13
hint,4
hire,2
hits,1
hold,51
hole,10
holy,1
home,109
hood,1
hoof,1
hook,3
hoop,1
hope,78
host,5
hour,58
hout,1
howl,2
hows,1
huge,2
hung,8
hunt,1
hurt,9
hush,36
huts,1
hyde,1
hymn,1
idea,23
idle,3
idly,3
idol,1
ills,1
inch,5
iron,27
item,2
jack,16
jail,4
jane,10
jars,1
jaws,2
jerk,4
jest,3
jews,2
jink,1
jist,1
john,92
join,2
joke,5
jolt,1
jowl,1
joys,1
judy,16
jump,2
june,1
jupe,4
jury,3
keen,3
keep,63
kept,31
keys,12
kill,4
kiln,2
kilt,1
kind,50
king,6
kiss,10
kitt,1
knee,8
knew,92
knit,1
knob,1
knot,3
know,267
lace,2
lady,144
laid,31
lain,1
lamb,2
lame,1
lamp,12
land,12
lane,10
lang,1
lank,2
lard,1
lark,1
last,124
late,31
lath,1
lawn,1
laws,2
lays,1
lazy,2
lead,19
leaf,4
lean,5
leap,3
leer,1
left,96
legs,29
lend,2
lent,1
less,48
lest,7
lids,1
lied,1
lies,8
lieu,12
life,113
lift,2
like,241
lily,1
limb,1
lime,6
limp,1
line,16
link,1
lion,2
lips,39
list,5
live,41
lman,1
lmen,3
load,3
loaf,6
loan,1
lock,14
loft,3
loll,1
long,164
look,173
lord,66
lorn,2
lose,6
loss,16
lost,37
lots,3
loud,10
love,68
luck,5
lump,2
lure,1
made,176
maid,11
mail,4
main,2
mais,1
make,103
male,4
mama,7
many,115
mark,64
mary,17
mask,4
mass,2
mast,2
mate,1
mats,1
maze,1
meal,5
mean,50
meat,5
meek,1
meet,16
mell,6
mere,19
mess,1
mice,2
mies,1
mike,3
mild,7
mile,4
milk,6
mill,3
mind,151
mine,58
minx,1
miry,1
miss,409
mist,12
mite,2
mith,1
mlud,2
moan,2
mock,1
mode,3
mood,2
moon,6
morn,1
moss,1
move,10
much,259
mugs,2
mule,1
must,134
mute,3
name,88
nate,1
navy,3
near,44
neat,8
neck,20
need,23
nell,36
nemo,1
nest,4
neuf,1
news,7
next,63
nice,5
nick,2
nigh,1
nile,1
nine,16
noah,1
nods,3
none,52
nook,3
noon,2
nose,11
note,19
nots,2
nuns,3
nuts,1
oars,1
oath,7
obey,1
odds,1
oils,1
omen,1
omer,4
ones,4
ooze,1
open,53
orth,3
ouse,3
oval,1
oven,1
owed,2
owen,1
pace,8
pack,1
page,4
paid,22
pain,11
pair,13
pale,16
pall,1
palm,1
pans,1
papa,13
park,5
part,56
pass,16
past,40
path,9
pats,1
paul,4
pays,1
peas,2
peck,3
peel,3
peep,2
pegs,1
pell,2
penn,2
pens,3
pent,1
pews,2
phil,22
pick,3
pies,3
pigs,1
pile,1
pine,1
pink,3
pins,1
pint,2
pipe,17
pith,1
pits,1
pity,11
plan,5
play,15
plea,2
plot,4
plum,1
poet,5
poke,1
pole,5
poll,7
pond,1
pont,1
pony,13
poof,1
pooh,12
poor,142
pork,2
port,4
post,21
pots,7
pour,1
pout,1
pray,80
prey,2
prig,2
prim,1
prop,1
pros,1
pull,4
pump,4
puny,2
pure,1
purl,1
push,2
puts,3
pyre,1
quay,1
quit,2
race,2
rack,1
raff,1
rage,2
rags,5
rail,1
rain,9
rang,6
rank,3
raps,6
rare,4
rash,1
rate,11
rats,1
rave,1
rays,5
read,49
real,18
reap,1
rear,4
reed,1
rely,5
rent,1
rest,46
riah,19
ribs,1
rice,1
rich,18
rick,6
ride,11
rife,1
riff,1
rimy,1
ring,11
riot,1
rise,10
risk,2
road,37
roam,1
roar,5
robe,1
rock,4
rode,1
roll,5
rome,2
roof,17
rook,2
room,182
root,1
rope,7
rosa,63
rose,22
rosy,6
rote,1
rows,2
rubs,1
ruby,1
ruin,7
rule,1
runs,3
rush,4
rust,3
ruth,17
sack,1
safe,11
said,392
sail,3
sake,18
sale,3
salt,15
sand,2
sang,2
sank,2
sash,2
save,17
says,50
scum,1
seal,3
seas,1
seat,18
sech,3
sect,1
seed,4
seek,5
seem,18
seen,78
sees,5
self,60
sell,2
seln,1
send,10
sent,15
sept,2
seth,1
sets,2
sewn,1
sham,2
shan,5
shed,3
ship,8
shod,2
shoe,4
shop,34
shot,11
show,48
shun,1
shut,29
sick,4
side,86
sigh,6
sign,7
silk,4
sill,1
sing,5
sink,2
sins,1
sips,1
sits,6
size,8
skin,4
slap,2
slid,1
slim,2
slip,4
slow,13
slum,2
snap,1
snip,1
snow,9
snub,2
snug,6
soap,1
soar,1
sofa,7
soft,6
soho,2
soil,3
sold,3
sole,7
solo,1
song,6
sons,1
soon,63
soot,1
sore,4
sort,45
soul,15
soup,3
sour,1
spar,1
spat,1
spot,16
spun,1
srub,1
stag,1
star,5
stay,37
step,22
stir,5
stop,54
stow,1
suck,1
sued,1
suff,1
suit,20
sums,2
sung,3
sunk,3
sure,90
syne,1
tact,2
tags,1
tail,4
tain,2
take,160
tale,1
talk,33
tall,8
tame,1
tank,1
taps,2
tare,1
task,6
tcha,2
team,1
tear,5
tell,130
tend,1
tens,1
term,9
test,1
thaw,2
thay,1
thed,1
thee,8
thin,6
thou,16
thpy,1
thus,80
tick,2
tide,12
tidy,2
tied,11
ties,3
tigg,12
till,16
time,322
tiny,4
tion,1
tire,1
tish,1
tive,1
toes,1
toil,3
told,76
toll,4
