word,count
notice,319
havisham,318
gradgrind,317
neither,316
lived,314
god,314
clear,314
walking,314
herbert,313
pray,313
worse,311
spirits,311
mention,311
waiting,309
effect,307
pa,307
chuzzlewit,307
common,306
silent,306
mentioned,306
rose,305
coat,305
reply,304
windows,303
morrow,303
defarge,302
seem,301
somebody,300
duty,300
gate,300
breath,300
distance,299
considered,298
sparsit,298
human,298
carried,298
likely,297
besides,297
floor,297
six,297
tulkinghorn,295
beside,295
perfectly,295
makes,295
service,293
meant,292
property,292
view,291
ten,291
laughed,291
struck,290
single,290
fast,290
drawing,290
followed,289
remained,289
todgers,288
paid,288
week,288
nell,287
beg,287
minutes,287
ago,286
lightwood,286
trust,285
sun,285
earth,285
holding,285
cut,284
wemmick,284
position,284
lizzie,284
giving,283
changed,283
seat,281
boat,281
consider,281
engaged,280
jasper,280
writing,280
worth,279
drew,279
pass,279
top,277
sent,276
raised,276
touch,275
pardon,275
fear,275
city,274
fall,274
nose,274
broken,274
laugh,274
forward,274
showed,274
exactly,273
write,273
louisa,273
instead,272
surprise,272
necessary,271
e,271
electronic,270
returns,270
estella,270
seems,269
rokesmith,269
iron,269
clothes,268
foundation,267
story,266
minute,266
obliged,266
able,265
takes,265
grave,265
led,265
fair,264
dare,264
particularly,264
suddenly,264
different,264
charge,262
order,262
moved,261
keeping,260
begin,260
bit,260
watch,260
fancy,259
act,258
dog,258
post,258
sea,258
opportunity,258
everybody,258
inquired,257
living,257
presently,257
spoken,257
blue,257
neck,257
plain,256
respect,255
greater,255
caddy,255
meet,255
hot,254
party,254
directly,254
scarcely,253
laughing,253
consideration,252
stone,252
thousand,251
softly,251
steps,251
twemlow,251
ran,250
candle,250
carriage,250
grewgious,250
servant,250
grandfather,249
number,249
note,248
wilfer,248
although,248
nearly,248
spot,248
step,247
cast,247
veneering,247
unless,247
resumed,247
afternoon,247
smallweed,246
r,246
retorted,245
influence,245
agreeable,245
died,245
fortune,244
play,244
action,244
podsnap,244
written,244
favour,243
surprised,243
loved,242
jaggers,242
presence,242
information,241
easily,240
crisparkle,240
wait,240
horse,239
condition,239
bound,239
closed,239
rising,238
women,238
passing,238
faces,238
sharp,238
exclaimed,238
companion,237
entered,237
die,237
bottle,237
secretary,237
eh,237
beginning,236
glance,235
baby,235
merry,235
bagnet,235
bell,234
bradley,234
met,233
uriah,233
horses,233
shadow,233
society,232
body,231
green,231
rejoined,231
places,231
understood,231
bank,231
proud,231
biddy,231
papers,230
stranger,229
expect,229
finger,229
rich,228
otherwise,228
age,228
remarkable,228
parlour,228
dropped,228
perfect,227
curious,227
longer,226
feelings,226
stay,226
mere,226
sake,226
journey,225
forget,225
visit,225
reference,224
former,224
cry,223
direction,222
talking,222
comfort,222
excuse,221
wild,221
dwarf,221
difficult,220
opposite,220
boots,220
desire,220
asleep,220
glancing,219
real,219
drink,219
blood,219
board,219
cheerful,219
yard,219
dust,218
darling,218
fresh,218
shake,218
express,218
upstairs,217
books,217
leaving,217
chance,217
assure,217
meaning,217
inn,217
reading,216
honest,216
smiling,216
ears,215
ghost,215
ways,214
impossible,214
skimpole,214
pair,214
pay,214
satisfaction,213
states,213
letters,213
eight,213
jo,213
comfortable,213
believed,212
slight,212
fallen,212
anxious,211
dull,211
pounds,211
pipe,211
esther,211
leaves,211
opening,210
trying,210
instant,210
running,210
straight,209
schoolmaster,209
arrived,209
mortimer,208
sweet,208
agreement,208
chin,208
merely,208
ly,208
whenever,207
miserable,207
highly,206
fingers,206
tapley,205
trees,205
happiness,205
cousin,205
rooms,204
leg,204
houses,204
haven,203
jellyby,203
calling,203
warm,203
pale,202
observe,202
private,202
handsome,201
remark,201
quick,201
broke,201
seven,200
summerson,200
touched,200
copyright,200
pleased,199
wished,199
angry,199
united,199
prepared,199
wide,199
bent,198
boys,198
wickfield,198
madame,197
clerk,196
caught,196
kitchen,196
weak,195
sky,195
expressed,195
wooden,195
weather,194
presented,194
following,194
safe,194
heads,194
altogether,193
crying,193
quarter,193
key,193
sampson,192
pride,192
finding,191
prisoner,191
twice,190
dressed,190
roof,190
peace,190
aside,190
gradually,190
whispered,190
noise,190
extraordinary,189
grey,189
busy,189
addressed,189
yesterday,189
stopping,188
remarked,187
working,187
nearer,187
various,187
stephen,187
staring,187
tigg,187
doors,187
settled,187
appear,186
liberty,186
allow,186
earnest,186
lighted,186
lie,185
possession,185
countenance,185
precious,185
save,184
difficulty,184
lives,183
dry,183
neville,183
jack,183
offer,183
forehead,182
carry,182
forgotten,182
remain,182
ear,182
aware,182
receive,181
gentle,181
worn,181
innocent,181
naturally,180
friendly,180
worthy,180
address,180
staircase,180
handkerchief,179
born,179
england,179
bonnet,179
davy,178
shining,178
sudden,178
hearing,178
dreadful,178
worked,177
front,177
marriage,177
youth,177
vholes,177
smoke,177
quietly,177
pity,177
passage,177
follow,176
spare,176
wasn,175
utmost,175
impression,175
distant,175
license,175
empty,174
uncle,174
thrown,174
suit,174
surely,174
glanced,174
headstone,173
extremely,173
wore,172
greatly,172
affairs,172
bye,172
rachael,172
hurried,172
move,172
started,172
stick,171
fit,171
line,171
laying,171
cries,171
trooper,171
beauty,170
watching,170
burst,170
existence,169
wretched,169
extent,169
resolved,169
dearest,169
generally,169
leaning,168
bailey,168
hadn,168
acquaintance,168
loss,167
pain,167
slow,167
welcome,167
ring,167
cap,167
credit,166
ye,166
start,166
whisper,166
jenny,166
hoped,166
forgive,166
nine,166
summer,166
remembrance,166
inside,166
dozen,165
village,165
literary,165
alive,165
ham,165
sally,165
bird,165
odd,164
gold,164
flowers,164
falling,164
affection,164
wrote,164
truly,164
liked,164
pause,163
establishment,163
bar,163
probably,163
manette,163
brown,163
grown,163
pumblechook,163
fond,163
unfortunate,163
latter,163
force,163
quickly,163
bread,162
pross,162
picture,162
devoted,162
talked,162
kissed,162
heep,162
rain,162
colour,161
delight,161
around,161
solitary,161
broad,161
possibly,161
visitor,161
likewise,161
golden,160
proceeded,160
promise,160
fixed,160
supper,160
lead,160
chamber,159
intention,159
charity,159
according,159
barkis,159
parting,159
knees,158
sooner,158
nodded,158
carton,157
desk,157
pen,157
thee,157
prison,157
strength,157
judge,157
durdles,157
folded,156
copy,156
anywhere,156
suspicion,156
chimney,156
determined,156
wet,156
lawyer,156
consequence,155
matters,155
familiar,155
noble,154
walls,154
lose,154
suggested,154
goodness,154
speech,154
telling,154
rough,154
memory,154
melancholy,154
moments,153
gently,153
tired,153
trotwood,153
discovery,153
acquainted,152
accustomed,152
woodcourt,152
relief,152
kiss,152
westlock,151
bringing,151
kindness,151
kenge,151
serious,151
fifty,151
pound,150
instantly,150
mary,150
pockets,150
remembered,150
neighbourhood,150
disposed,150
possessed,150
donations,150
break,150
future,150
observation,150
greatest,150
hall,150
birds,149
trembling,149
barbara,149
knife,149
sissy,149
names,148
fur,148
circumstance,148
tender,148
grateful,148
aye,148
spenlow,148
delighted,148
meeting,148
darnay,148
justice,148
personal,148
captain,147
satisfied,147
regard,147
patient,147
hurry,147
cheek,147
listening,147
joy,147
especially,147
occupied,146
lock,146
finished,146
send,146
months,146
wonderful,146
plainly,146
humour,146
montague,145
miles,145
turns,145
parted,145
agree,145
gracious,144
shoulders,144
partner,144
ship,144
crowd,144
darkness,144
interposed,144
temple,144
cross,144
dream,144
mad,144
wren,143
troubled,143
watched,143
tight,143
wood,143
third,143
happen,142
required,142
somewhere,142
afore,142
drawn,142
admiration,142
usually,142
throw,142
touching,142
rise,142
betsey,142
ease,142
shown,142
landlord,142
edwin,141
habit,141
wrayburn,141
blind,141
drinking,141
trademark,140
danger,140
advantage,140
downstairs,140
moving,140
art,140
thomas,140
knocked,140
affectionate,139
music,139
shouldn,139
grass,139
conscious,139
lavinia,139
removed,139
pointing,139
hung,139
listen,139
dread,139
station,138
frightened,138
gives,138
f,138
shoes,138
individual,138
seated,138
informed,137
retired,137
constantly,137
christmas,137
thinks,137
produced,137
recollect,137
excellent,137
unhappy,136
continued,136
handed,136
harthouse,136
interested,136
fro,136
bill,136
harm,136
worst,136
wants,135
dismal,135
weeks,135
witness,135
honourable,135
instance,135
appears,135
isn,134
occasionally,134
hurt,134
english,134
lower,134
stands,134
scene,133
objects,133
FALSE,133
charles,133
draw,133
nephew,133
terrible,133
confusion,133
bare,133
jolly,133
bosom,133
sensible,133
aloud,132
equally,132
begun,132
hopes,132
waited,132
professional,131
mysterious,131
listened,131
sapsea,131
lights,131
fully,131
degree,131
murder,131
daughters,131
favourite,131
faint,130
breaking,130
raising,130
c,130
cool,130
moral,130
filled,130
delicate,130
temper,130
communication,130
archive,130
lucie,129
pointed,129
gloomy,129
evidently,129
rouncewell,129
abbey,129
considerable,129
trot,129
mercy,129
solemn,129
stool,129
news,129
history,129
pieces,128
cruel,128
occasions,128
nod,128
david,128
amount,128
blow,128
bore,128
ruth,128
mistake,128
coffee,128
covered,127
tide,127
beat,127
vain,127
bundle,127
laws,127
inquiry,127
experience,127
attitude,127
lane,127
creakle,126
effort,126
wot,126
advice,126
carrying,126
burning,126
threw,126
placed,126
strongly,126
agreed,126
waistcoat,126
growing,126
persons,126
plate,126
eat,125
waiter,125
learn,125
difference,125
uneasy,125
ladyship,125
awful,125
period,125
proposed,125
harmon,125
hanging,124
forty,124
caused,124
sloppy,124
bow,124
bought,124
reached,124
asking,124
understanding,124
wandering,124
occurred,124
girls,124
narrow,123
questions,123
domestic,123
dirty,123
mould,123
add,123
charming,123
explained,123
aged,123
heavily,123
sign,123
jerry,123
voices,123
monsieur,122
basket,122
health,122
loose,122
played,122
cruncher,122
showing,122
chambers,122
saint,122
devil,122
midst,122
couple,121
pupil,121
entirely,121
kindly,121
churchyard,121
brick,121
provided,121
throat,121
lodging,121
wondering,121
learned,121
permission,121
returning,121
intelligence,121
smiled,121
dragon,121
sufficiently,120
marry,120
apart,120
figures,120
mystery,120
buy,120
setting,120
forced,120
thick,120
knee,120
middle,120
grew,120
weight,120
georgiana,120
rate,120
claim,119
hearted,119
wopsle,119
simple,119
beneath,119
pace,119
limited,119
inspector,119
stock,119
creatures,118
hexam,118
asks,118
stage,118
steady,118
chancery,118
pulled,118
loud,118
gets,118
market,118
urged,118
mas,117
thanked,117
ridiculous,117
taste,117
guard,117
paragraph,117
confused,117
lamp,117
evil,117
heartily,117
including,117
omer,116
drop,116
chuffey,116
beer,116
associated,116
directed,116
sofa,116
appearing,116
abroad,116
sympathy,116
complete,115
rubbing,115
access,115
rendered,115
land,115
calm,115
formed,114
shape,114
knock,114
freely,114
carefully,114
legal,114
elbow,114
smoking,114
thoughtful,114
accompanied,114
helped,114
furniture,114
riah,114
pavement,114
anxiety,113
becoming,113
blessed,113
equal,113
gummidge,113
game,113
hastily,113
dignity,113
bottom,113
stones,113
regular,113
regarded,113
striking,113
replies,113
wear,113
clearly,113
lodger,113
noticed,113
papa,112
mills,112
ashamed,112
belief,112
reflection,112
occupation,112
nodding,112
shame,112
shirt,112
delightful,112
points,112
ashes,112
sophronia,111
somehow,111
twinkleton,111
enter,111
profession,111
attend,111
cathedral,111
younger,111
sits,111
twelve,111
respectable,111
crossed,110
delivered,110
deeply,110
ceiling,110
shadows,110
nonsense,110
clean,110
tied,110
locked,110
coketown,110
capital,110
older,110
attached,110
lately,110
double,110
thoughtfully,110
trade,109
inclined,109
passion,109
punch,109
events,109
connexion,109
monseigneur,109
observing,109
